1570610007,2,3,3,"C6,C4,C3,C2;S3,S4,SJ,S2;S7,S10,S5,SQ;S8,SA,S6,SK;C8,C5,C7,CJ;D4,D2,D3,D6;D10,DK,D5,D7;C10,DA,CK,C9;H2,H5,H8,H3;HA,CA,D8,DJ;HK,H9,D9,DQ;H6,H4,CQ,H10;HQ,H7,S9,HJ"
1570610007,2,2,3,"C5,C10,C4,C2;S10,S6,S2,S4;S7,S3,S8,SQ;DJ,S5,S9,SA;C3,C7,DA,CQ;C6,CA,D7,CK;SK,DQ,CJ,SJ;D2,C9,D4,D3;D6,D5,C8,D9;HK,D8,HA,DK;H4,H10,H3,H2;H6,H9,HQ,D10;H5,H8,H7,HJ"
1570610007,2,0,3,"C5,C6,C4,C2;S2,S4,S3,SQ;S6,S5,S8,SK;C7,C3,C9,CQ;D4,D6,D5,D2;S10,D9,S9,S7;D8,DA,DQ,SJ;D3,CK,D10,SA;HJ,C8,D7,CA;H9,CJ,HA,DJ;H7,C10,H10,DK;H4,H5,H2,H3;H8,HK,H6,HQ"
