1571988779,3,5,0,"CA,CK,CQ,C2;DQ,DK,DA,D2;CJ,C7,C9,C5;C4,C8,C10,C6;HJ,SK,HK,C3;S7,SJ,S10,S2;D9,DJ,D10,D6;S3,S6,S8,S9;H10,S4,S5,SQ;H8,HA,H7,SA;H2,H4,D8,H3;D5,HQ,H6,D4;H9,H5,D7,D3"
1571988779,3,3,0,"CQ,C8,CA,C2;D9,DA,D10,D6;SA,DJ,D4,D5;SQ,HK,C7,C6;CK,H10,HQ,C5;S8,S10,SJ,S5;CJ,H9,HJ,C4;S2,S7,S9,SK;H8,H3,C3,C9;H6,H2,H7,C10;D3,DK,H4,D7;S4,HA,H5,S6;S3,D8,D2,DQ"
1571988779,3,2,0,"CA,CK,CQ,C2;D10,DA,DQ,D6;D7,DJ,D2,D4;HA,DK,SQ,D5;H6,D9,HQ,D3;SJ,S7,S10,S5;C9,CJ,SA,C6;SK,C10,C5,C4;HJ,C8,HK,C3;S2,S9,S4,S6;H8,H5,H9,C7;H4,H3,H2,H7;S3,S8,D8,H10"
