1571987029,1,0,2,"CJ,CQ,C10,C2;DJ,DA,D4,DQ;SQ,D9,D10,DK;SA,D8,D3,D6;S6,S3,S2,S7;S5,S8,S9,S10;C8,CA,C9,C4;C5,HK,C3,C6;SK,H7,HA,C7;H10,H6,HQ,CK;H8,D7,H9,D5;H5,HJ,H4,D2;S4,H3,SJ,H2"
1571987029,1,17,2,"CQ,C9,CK,C2;D8,DJ,DK,DA;D2,D10,DQ,D5;D4,SA,D9,D6;S7,S8,S5,S9;S6,SJ,S10,SQ;HA,CJ,CA,C5;HJ,S3,S4,S2;C10,C8,H10,C7;H6,H8,HK,SK;C6,H5,H9,C3;D3,H7,HQ,D7;H4,H2,C4,H3"
1571987029,1,1,2,"C8,CJ,CQ,C2;DA,D10,D9,DQ;D7,D8,DJ,DK;HK,D3,D6,D5;S3,HJ,SK,S4;S6,S7,H8,S2;H7,S9,SJ,SA;C5,SQ,C10,CK;C4,HA,C9,CA;H6,H9,D2,D4;H3,H2,C7,H4;H5,S8,C6,H10;C3,S5,S10,HQ"
